,btc_softw_dl_14,btc_softw_dl_13,bitc_softw_dl_12,remitt_USDmil_13 ,remitt_USDmil_12,intusers_%ofpop_13,intusers_%pop_12,gdp_13,gdp_12,blackmkt_%gdp_08
Togo,41,50,6,336.5974853,336.5974853,4.5,4,"4,338,575,824",3915754216,34.71
Trinidad and Tobago,115,767,184,126.068,126.068,63.8,59.5162,"24,640,839,008",23436342520,31.27
Tunisia,369,1149,266,2290.512364,2265.714118,43.8,41.4416,"47,128,700,683",45238491581,35.27
Turkey,3202,14324,2064,919,1015,46.25,45.13,"820,206,962,631",7.89E+11,28.63
Turkmenistan,6,62,8,40,37,9.6,7.1958,"41,850,877,193",35164210526,
Uganda,41,180,63,931.5703297,910.316843,16.2,14.6896,"21,482,954,237",20032237910,39.38
Ukraine,10148,46944,17145,9667,8449,41.8,35.27,"177,430,609,756",1.77E+11,46.18
United Arab Emirates,1493,7657,903,,,88,84.9999915,"383,799,194,081","383,799,194,081",21.86
United Kingdom,20262,159702,51292,1711.912725,1775.893402,89.8441,87.47999842,"2,521,380,958,035","2,461,768,284,868",12.02
United States,97393,736720,244669,6623,6285,84.2,79.3,"16,800,000,000,000",1.62E+13,8.32
Uruguay,190,1586,344,122.748,121.776,58.1,54.45376868,"55,707,944,642",50004354667,45.25
Uzbekistan,261,885,305,6633,5668,38.2,36.5213,"56,795,656,325",51183443225,
Venezuela,1347,5869,1304,120.6516854,118,54.9,49.05008307,"438,283,564,815",3.81E+11,30.19
Vietnam,2708,7543,1608,11000,10000,43.9,39.49,"171,391,820,360",1.56E+11,13.89
Yemen,10,113,38,3342.5,3351,20,17.4465,"35,954,502,304",31992801303,26.47
Zambia,10,70,18,72.864,72.864,15.4,13.4682,"22,383,715,315",20596424325,42.08
Zimbabwe,28,226,45,,,18.5,17.09,"12,801,964,993",12472416688,62.75
