,btc_dl,remitt_in_13,remitt_percentgdp_2013,gdp_13,mobile_phone_13,int_users_per100,account_percentfin_inst,inflation_13,blk_market_08,mig_to_OECD,population,btc_dl_percapita
Antigua and Barbuda,55.00,21.13,1.76,1200.59,127.09,63.40,,1.06,,,89985.00,0.00
St. Vincent and the Grenadines,72.00,32.56,4.59,709.36,114.63,52.00,,0.81,,,109373.00,0.00
Turkmenistan,54.00,29.81,0.07,41850.88,116.89,9.60,1.79,,,4468.00,5240072.00,0.00
St. Lucia,50.00,30.15,2.26,1335.76,116.31,35.20,,1.47,,,182273.00,0.00
Grenada,40.00,30.82,3.69,835.58,125.59,35.00,,-0.04,,4777.00,105897.00,0.00
Cabo Verde,45.00,187.89,10.00,1879.40,100.11,37.50,,1.51,,,498897.00,0.00
Dominica,75.00,23.55,4.56,516.67,129.96,59.00,,-0.05,,,72003.00,0.00
"Gambia, The",30.00,191.15,21.16,903.50,99.98,14.00,,5.70,,,1849285.00,0.00
Seychelles,25.00,14.62,1.01,1443.35,147.34,50.40,,4.34,,,89173.00,0.00
Djibouti,27.00,35.92,2.47,1456.34,27.97,9.50,,2.42,,3149.00,872932.00,0.00
St. Kitts and Nevis,19.00,51.57,6.73,765.87,142.09,80.00,,0.72,,,54191.00,0.00
Tonga,19.00,114.20,24.49,466.26,54.59,35.00,,0.71,,8423.00,105323.00,0.00
Equatorial Guinea,12.00,,,15580.56,67.47,16.40,,6.35,28.80,,757014.00,0.00
Vanuatu,8.00,24.07,2.91,828.24,59.34,11.30,,1.45,,340.00,252763.00,0.00
Sao Tome and Principe,1.00,28.53,9.18,310.68,64.94,23.00,,7.13,,,192993.00,0.00
Solomon Islands,1.00,16.84,1.54,1096.40,57.57,8.00,,5.39,,795.00,561231.00,0.00
Russian Federation,132628.00,7115.55,0.34,2096777.03,152.84,61.40,67.38,6.76,,,143499861.00,0.00
"Hong Kong SAR, China",12959.00,373.33,0.14,274012.82,238.68,74.20,96.15,4.35,,,7187500.00,0.00
"Korea, Rep.",10236.00,6481.40,0.50,1304553.97,111.00,84.77,94.36,1.31,,,50219669.00,0.00
Slovak Republic,13844.00,2120.84,2.17,97707.32,113.91,77.88,77.24,1.40,,,5413393.00,0.00
Singapore,9224.00,,,297941.26,155.60,73.00,96.35,2.39,12.13,20640.00,5399200.00,0.00
United Arab Emirates,6413.00,,,402340.11,171.87,88.00,83.20,1.10,21.86,76086.00,9346129.00,0.00
Serbia,5733.00,3656.36,8.03,45519.65,119.39,51.50,83.09,7.69,,91413.00,7164132.00,0.00
"Venezuela, RB",5170.00,121.19,0.03,438283.56,101.61,54.90,56.86,40.64,,,30405207.00,0.00
"Egypt, Arab Rep.",2578.00,19611.77,7.21,271972.82,121.51,49.56,13.65,9.48,,,82056378.00,0.00
"Macedonia, FYR",1302.00,366.51,3.59,10195.40,106.17,61.20,71.80,2.78,,,2107158.00,0.00
Cote d'Ivoire,658.00,378.46,1.22,31062.03,95.45,2.60,15.14,2.57,,,20316086.00,0.00
"Iran, Islamic Rep.",470.00,1381.77,0.37,368904.35,84.25,31.40,92.18,39.27,,,77447168.00,0.00
Kyrgyz Republic,552.00,2245.55,31.07,7226.30,121.45,23.40,18.47,6.61,,,5719600.00,0.00
Bahrain,346.00,,,32890.11,165.91,90.00,81.94,3.19,16.32,,1332171.00,0.00
Iraq,363.00,271.00,0.12,229327.28,96.10,9.20,10.97,1.88,,11252.00,33417476.00,0.00
Montenegro,303.00,441.03,9.99,4416.08,159.95,56.80,59.83,2.21,,2600.00,621383.00,0.00
Zimbabwe,210.00,,,13490.00,96.35,18.50,17.19,1.63,62.75,250955.00,14149648.00,0.00
"Yemen, Rep.",106.00,3455.33,9.61,35954.50,69.01,20.00,6.45,10.97,,,24407381.00,0.00
Afghanistan,83.00,636.21,3.13,20309.67,70.00,5.90,9.96,7.65,,116723.00,30551674.00,0.00
Gabon,39.00,,,19343.51,214.75,9.20,30.15,0.48,47.37,17194.00,1671711.00,0.00
"Congo, Dem. Rep.",36.00,35.39,0.11,32690.90,43.70,2.20,10.91,1.63,,,67513677.00,0.00
Mauritania,30.00,,,4158.18,102.53,6.20,20.45,4.13,31.39,6537.00,3889880.00,0.00
Chad,6.00,,,13513.55,35.56,2.30,7.70,0.15,41.62,13778.00,12825314.00,0.00
Argentina,21713.00,540.38,0.09,609888.97,159.03,59.90,50.20,,22.64,327884.00,41446246.00,0.00
Morocco,2170.00,6962.24,6.71,103835.70,128.53,56.00,,1.89,32.58,667907.00,33008150.00,0.00
Iceland,1304.00,216.11,1.41,15330.06,108.11,96.55,,3.88,14.60,1917.00,323764.00,0.00
Paraguay,867.00,591.04,2.04,29009.41,103.69,36.90,,2.68,37.19,37844.00,6802295.00,0.00
Lebanon,748.00,8899.05,20.06,44352.42,80.56,70.50,46.93,,32.36,67392.00,4467390.00,0.00
Trinidad and Tobago,715.00,130.99,0.53,24640.84,144.94,63.80,,5.20,31.27,,1341151.00,0.00
Maldives,268.00,3.43,0.15,2299.84,181.19,44.10,,2.31,27.62,6475.00,345023.00,0.00
Suriname,145.00,9.00,0.17,5298.79,127.32,37.40,,1.96,34.25,9729.00,539276.00,0.00
Oman,180.00,39.01,0.05,79655.92,154.65,66.45,,1.25,16.80,4475.00,3632444.00,0.00
