region_orig,region_orig_id,region_dest,region_dest_id,country_orig,origin_OECD,country_orig_id,country_dest,country_dest_id,destination_OECD,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,metadata
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Latvia,LVA,0,8211,1336,15683,112823,57,21,45,81,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Moldova,MDA,0,8211,1336,15683,112823,7,0,0,23,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Russia,RUS,0,8211,1336,15683,112823,2318,977,210,2093,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Tajikistan,TJK,0,8211,1336,15683,112823,0,0,0,0,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Turkmenistan,TKM,0,8211,1336,15683,112823,113,0,0,2,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Ukraine,UKR,0,8211,1336,15683,112823,291,0,16,612,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Uzbekistan,UZB,0,8211,1336,15683,112823,0,0,0,14,
North America,1,Fmr Soviet Union,4,United States,1,USA,Armenia,ARM,0,8211,1336,15683,112823,0,0,0,0,
North America,1,Fmr Soviet Union,4,United States,1,USA,Azerbaijan,AZE,0,8211,1336,15683,112823,1,0,18,893,
North America,1,Fmr Soviet Union,4,United States,1,USA,Belarus,BLR,0,8211,1336,15683,112823,523,0,988,2092,
North America,1,Fmr Soviet Union,4,United States,1,USA,Estonia,EST,1,8211,1336,15683,112823,126,5,272,795,
North America,1,Fmr Soviet Union,4,United States,1,USA,Georgia,GEO,0,8211,1336,15683,112823,0,0,0,1,
North America,1,Fmr Soviet Union,4,United States,1,USA,Kazakhstan,KAZ,0,8211,1336,15683,112823,0,0,1483,41206,
North America,1,Fmr Soviet Union,4,United States,1,USA,Kyrgyzstan,KGZ,0,8211,1336,15683,112823,0,232,0,4,
North America,1,Fmr Soviet Union,4,United States,1,USA,Lithuania,LTU,0,8211,1336,15683,112823,85,0,1496,2011,
North America,1,Fmr Soviet Union,4,United States,1,USA,Latvia,LVA,0,8211,1336,15683,112823,473,17,666,1100,
North America,1,Fmr Soviet Union,4,United States,1,USA,Moldova,MDA,0,8211,1336,15683,112823,138,0,0,477,
North America,1,Fmr Soviet Union,4,United States,1,USA,Russia,RUS,0,8211,1336,15683,112823,3048,1,8099,40228,
North America,1,Fmr Soviet Union,4,United States,1,USA,Tajikistan,TJK,0,8211,1336,15683,112823,0,0,0,17,
North America,1,Fmr Soviet Union,4,United States,1,USA,Turkmenistan,TKM,0,8211,1336,15683,112823,142,0,0,7,
North America,1,Fmr Soviet Union,4,United States,1,USA,Ukraine,UKR,0,8211,1336,15683,112823,341,0,2238,19157,
